epoch,train_loss,val_loss,val_dice,lr
1,0.47781004761876467,0.4222857577988527,0.5250246664220223,0.0002988172051971717
2,0.42651847595956993,0.4128158886990285,0.46290756118326026,0.0002952874741692947
3,0.37752713263924087,0.29382074863169055,0.4965447383793106,0.0002894664728832377
4,0.2653826814606528,0.23365404763293815,0.6477748504591633,0.00028144600200657956
5,0.2386043013648008,0.2384962274047621,0.6306830077604728,0.00027135254915624217
6,0.2350713607847916,0.23318872782761083,0.5983625957823834,0.0002593452941132118
7,0.23458919983771442,0.24252376952575327,0.5910504705723828,0.00024561359846230347
8,0.23214302690277666,0.22914819539114892,0.6697824591194341,0.0002303740192468495
9,0.2255995040542685,0.19956083788981777,0.6593721066553577,0.0002138668937347609
10,0.1968173808521036,0.19543873076530896,0.6603316636733281,0.0001963525491562421
11,0.19241654219134371,0.1904419048695974,0.6680653943798506,0.00017810719718785873
12,0.19761208841817646,0.22408352555764888,0.6134600605142904,0.00015941857792939703
13,0.19058364543264206,0.19379738072198635,0.6632365259595139,0.00014058142207060302
14,0.18823360757628443,0.1907522356228024,0.6695226184560646,0.00012189280281214133
15,0.18927287589036104,0.1916420248321531,0.6699200865734802,0.00010364745084375795
16,0.18453043571580516,0.1804456063379536,0.6795126470717154,8.61331062652391e-05
17,0.18331194282695576,0.17610086484048323,0.6894979981991537,6.962598075315047e-05
18,0.17819358813290168,0.1772164716937282,0.6911756927488288,5.4386401537696536e-05
19,0.16663359969288188,0.1935649909843693,0.6677195527752151,4.06547058867883e-05
20,0.1660215275894583,0.16225596106564516,0.7216346791649775,2.86474508437579e-05
21,0.15824160868939666,0.16290262692393817,0.7186552163574247,1.8553997993420465e-05
22,0.15345369405808829,0.16756701825057693,0.7093401600800595,1.05335271167623e-05
23,0.15368850075482124,0.1587449442313698,0.7233278704905167,4.712525830705356e-06
24,0.15265474315515587,0.15907884462660232,0.7210151600572166,1.1827948028283355e-06
25,0.15450166409339824,0.1575772694490595,0.7243917055232428,0.0
