epoch,train_loss,val_loss,val_dice,lr
1,0.635167554249127,0.5929443002600658,0.461730770132517,0.0002988172051971717
2,0.5769200296674212,0.5658286473252229,0.4509096360167484,0.0002952874741692947
3,0.5382540798433879,0.4884620449233833,0.5637723832445288,0.0002894664728832377
4,0.4726313638395454,0.4691704729291875,0.6544397987206574,0.00028144600200657956
5,0.3384867127008791,0.27200430752553917,0.648985210106747,0.00027135254915624217
6,0.2611080264561108,0.2562991702305294,0.6597983443086134,0.0002593452941132118
7,0.25501557972088756,0.2673267722722549,0.6504595615565785,0.00024561359846230347
8,0.2572096725116199,0.2606232470655688,0.6578925119321436,0.0002303740192468495
9,0.2576838281885255,0.25409492118878313,0.6648833046808865,0.0002138668937347609
10,0.25529719021238767,0.25573500287300455,0.6631871945716474,0.0001963525491562421
11,0.2523246832608418,0.25377728403586663,0.6639071313182564,0.00017810719718785873
12,0.2507367002645662,0.2770100474985896,0.6363227329232066,0.00015941857792939703
13,0.24322032306572303,0.25319563197349876,0.6645780902691747,0.00014058142207060302
14,0.24566954302949628,0.25261197210116904,0.6669300344460272,0.00012189280281214133
15,0.2449634486436251,0.24933580466225305,0.6712215861423425,0.00010364745084375795
16,0.24400511128864613,0.2516124225091915,0.670922288936929,8.61331062652391e-05
17,0.24247399130059874,0.25131883204884253,0.6695485289613055,6.962598075315047e-05
18,0.24206413181547928,0.25001279384419384,0.6730828766752526,5.4386401537696536e-05
19,0.24011062337884093,0.2515997200457464,0.6701155182102067,4.06547058867883e-05
20,0.23487193381659477,0.21544902166536903,0.7162505959056158,2.86474508437579e-05
21,0.21371375442496796,0.21371811357465356,0.7175520794583201,1.8553997993420465e-05
22,0.20263916552911607,0.21175254282134814,0.7202880347448393,1.05335271167623e-05
23,0.20182599953199942,0.2116670286551106,0.7194235539663948,4.712525830705356e-06
24,0.19864557655233617,0.20825409731555763,0.7240441183581083,1.1827948028283355e-06
25,0.20040697880090766,0.20752860682771238,0.7237824707061598,0.0
