epoch,train_loss,val_loss,val_dice,lr
1,0.49304489094962417,0.413875933708637,0.5091653895610455,0.0002967221401100708
2,0.39715161655777304,0.3531013858103859,0.6112562063215733,0.0002870318186463901
3,0.3712564043683927,0.35366129535606416,0.6377982858238906,0.0002713525491562421
4,0.36256723270233826,0.3479168092471728,0.4951589805879693,0.00025036959095382875
5,0.3463611562540007,0.3312593013539665,0.45064777350318486,0.00022500000000000002
6,0.3384737567354304,0.3459968313105639,0.4213905454218119,0.00019635254915624213
7,0.33366817352204775,0.328808689403391,0.44996160804957286,0.00016567926949014806
8,0.3329562416491612,0.31908837604201,0.4652926715417602,0.00013432073050985205
9,0.32585164345661144,0.30672613018634975,0.5080988509008015,0.00010364745084375793
10,0.2508590671625785,0.20818145211221933,0.6385841545672609,7.500000000000006e-05
11,0.21475214982336835,0.20535357032848084,0.6440004513360214,4.963040904617133e-05
12,0.20954353767827946,0.2096508052395559,0.6351673443992992,2.8647450843757904e-05
13,0.21225374622936993,0.20575827337812627,0.6411501220141215,1.2968181353609857e-05
14,0.20654996156703684,0.20421566864450474,0.6450383795433674,3.2778598899291478e-06
15,0.2036240440356669,0.204513947533882,0.6430444171403659,0.0

