epoch,train_loss,val_loss,val_dice,lr
1,0.47416696098848204,0.4234129178827494,0.617658830983542,0.0002988172051971717
2,0.4176806831053955,0.4285833531651311,0.47643873639339573,0.0002952874741692947
3,0.31978928039129434,0.23973992756177437,0.6481893374603138,0.0002894664728832377
4,0.23591290046176547,0.23859084011689005,0.6193641610591774,0.00028144600200657956
5,0.23214102076243898,0.22965982975993918,0.6239916433772115,0.00027135254915624217
6,0.22020181144104342,0.19735137826645288,0.659503031738381,0.0002593452941132118
7,0.1923420117259832,0.1977565024187381,0.6584299154457037,0.00024561359846230347
8,0.19111520677185423,0.19818529071747165,0.6569103325713862,0.0002303740192468495
9,0.191020917186674,0.1940582291050477,0.6643989100615554,0.0002138668937347609
10,0.18899691101702373,0.19761253512251822,0.6596104462137722,0.0001963525491562421
11,0.1890422325527215,0.192663195422223,0.6704052436979311,0.00017810719718785873
12,0.1860192448778183,0.1950354780068261,0.6661666381098066,0.00015941857792939703
13,0.18261879204707757,0.19722067470482255,0.6622555413617086,0.00014058142207060302
14,0.1814618965420781,0.18928058340540935,0.6728360203403003,0.00012189280281214133
15,0.18021553992203923,0.1907521474664896,0.6709279599575851,0.00010364745084375795
16,0.1752745833078198,0.18926965921239997,0.672489094480852,8.61331062652391e-05
17,0.17204745200849655,0.19203022687252116,0.670683009620574,6.962598075315047e-05
18,0.1627529764183715,0.16426598449595503,0.7118092732668492,5.4386401537696536e-05
19,0.14817534011210828,0.18369600107758502,0.6836461544668032,4.06547058867883e-05
20,0.1429687994653635,0.16753311850006086,0.7079349717832124,2.86474508437579e-05
21,0.13958811303606228,0.16884733302935115,0.7058498495235945,1.8553997993420465e-05
22,0.13513708193805896,0.15596472805065112,0.727046900718527,1.05335271167623e-05
23,0.1340176461178158,0.1570067797434074,0.7237357297584758,4.712525830705356e-06
24,0.13450669028978,0.15480976230216673,0.727864084873647,1.1827948028283355e-06
25,0.13552537812570323,0.15510929735079584,0.7287429942200475,0.0
