epoch,train_loss,val_loss,val_dice,lr
1,0.5687310327199376,0.46825063139244893,0.5409096531692831,0.0002988172051971717
2,0.4820040671206558,0.4308604425576137,0.5791769433638145,0.0002952874741692947
3,0.45998962665087106,0.49819184681107437,0.5275530669687392,0.0002894664728832377
4,0.442706553540727,0.412800419723791,0.42535459110583146,0.00028144600200657956
5,0.44227718318751763,0.40610411678297054,0.4215276170706284,0.00027135254915624217
6,0.42827410330829635,0.4075267297932054,0.4116849406458985,0.0002593452941132118
7,0.40559230804085644,0.2829953595616113,0.6313549192591585,0.00024561359846230347
8,0.3212744038711342,0.2826578749798942,0.6291805496369524,0.0002303740192468495
9,0.3186709673911758,0.2678067278915617,0.6492594329492263,0.0002138668937347609
10,0.3186865553807604,0.2743730786768929,0.6388204907816926,0.0001963525491562421
11,0.31727084118400584,0.25984805094069807,0.6604607837132249,0.00017810719718785873
12,0.3023580645405969,0.25942462280593714,0.6612536436256797,0.00015941857792939703
13,0.30131970017880133,0.2789000709732433,0.6139566659748643,0.00014058142207060302
14,0.28478335475707,0.26274573805182055,0.6015308689677912,0.00012189280281214133
15,0.3012123571992457,0.3301521186036863,0.5113090610039467,0.00010364745084375795
16,0.3082805352043766,0.2943034688348713,0.5627389290164793,8.61331062652391e-05
17,0.28717913286898783,0.24531505197688735,0.6295338497347739,6.962598075315047e-05
18,0.26888320288171647,0.23819613925878075,0.639049873448562,5.4386401537696536e-05
19,0.2661825441276768,0.23652500577684285,0.6428167429463617,4.06547058867883e-05
20,0.24935824714114768,0.23292036448372178,0.6469388013479412,2.86474508437579e-05
21,0.25953064315071345,0.23933929130099882,0.6378853632949818,1.8553997993420465e-05
22,0.2520798861516524,0.23363216554207064,0.645631423418311,1.05335271167623e-05
23,0.24806105239849205,0.235089672592537,0.6431348993145544,4.712525830705356e-06
24,0.2530475026059446,0.23480834390806116,0.6436811259304029,1.1827948028283355e-06
25,0.249725068595878,0.23492792000745547,0.6433998977226475,0.0
