epoch,train_loss,val_loss,val_dice,lr
1,0.48986434243446175,0.39756732365895603,0.5677250423084671,0.0002967221401100708
2,0.3965314731326035,0.36060786077465073,0.6006042372876558,0.0002870318186463901
3,0.3639302122485611,0.36679921242250674,0.5731234432071045,0.0002713525491562421
4,0.35142130562888885,0.34656598739538236,0.6327426636862433,0.00025036959095382875
5,0.3361393930495277,0.35868594001258153,0.4536767554158035,0.00022500000000000002
6,0.29501463897632463,0.2696360422038603,0.5831688980291272,0.00019635254915624213
7,0.2531111627112898,0.24097274228193236,0.6298912744829501,0.00016567926949014806
8,0.25070188181657854,0.24758244204199475,0.5865453770314378,0.00013432073050985205
9,0.23718441124035736,0.21161377425494043,0.6312645690730665,0.00010364745084375793
10,0.25087639003634365,0.2865050266953423,0.5137467359316938,7.500000000000006e-05
11,0.25246730432283226,0.22330080816100562,0.6081663935795717,4.963040904617133e-05
12,0.2146718003029047,0.20933068017552103,0.6322132342758923,2.8647450843757904e-05
13,0.21101974643381216,0.207962389180864,0.6345673040828962,1.2968181353609857e-05
14,0.20452783241677983,0.20906685063729938,0.6329161874179182,3.2778598899291478e-06
15,0.20126287926432787,0.20635230098662527,0.637259811922528,0.0
