epoch,train_loss,val_loss,val_dice,lr
1,0.48993064191497004,0.3886076252589161,0.5105682944563376,0.0003
2,0.39701606721155464,0.38094874796481326,0.6037488414429832,0.0003
3,0.372562404758306,0.3573661715998642,0.5754656980688246,0.0003
4,0.35850426664230794,0.35764287981851167,0.4094245116571258,0.0003
5,0.34945217032049797,0.3297995903055886,0.45139665032612686,0.0003
6,0.3442610391797826,0.3528040016608975,0.40706700551277514,0.0003
7,0.3421889141101365,0.3244027668747051,0.4913963567370596,0.0003
8,0.2739527934165888,0.23896068012875238,0.6239419463334949,0.0003
9,0.2481558511155222,0.24246528454270141,0.6281096312417084,0.0003
10,0.2580351517420466,0.25514480578845766,0.5790636166818496,0.0003
11,0.26678539547630475,0.2537804076160448,0.5873882746633918,0.0003
12,0.26125232898822337,0.24764656332479246,0.6182162883220942,0.0003
13,0.2579893942835719,0.23762778202811818,0.6173385295910814,0.0003
14,0.25299410603588357,0.23509905039370507,0.6243749535244623,0.0003
15,0.24859117553901244,0.2410345541304913,0.6179288149416179,0.0003
